"","x"
"char_freq_dollarSign",357.084862664529
"word_freq_remove",165.661127449856
"word_freq_money",131.877370471617
"word_freq_000",126.616794147096
"char_freq_exclamationMark",86.6275606400684
"capital_run_length_longest",85.5794457985781
"word_freq_credit",61.8468444709402
"word_freq_order",55.5151777225652
"word_freq_hp",49.9703512073992
"capital_run_length_total",32.4837124959081
"word_freq_free",25.5450062740797
"word_freq_hpl",23.8739745168011
"word_freq_george",16.4036745351366
"capital_run_length_average",14.7681677434154
"word_freq_your",13.3616755773758
"word_freq_edu",13.2720953326729
"char_freq_openBracket",10.1970682037868
"word_freq_our",8.79057603774723
"word_freq_telnet",8.48132242444431
"word_freq_650",5.87168475538457
"word_freq_lab",5.21927533811956
"word_freq_415",5.16203039862326
"word_freq_85",5.16203039862326
"word_freq_857",5.16203039862326
"char_freq_Hash",2.00801366605882
"word_freq_business",1.93485955964329
"word_freq_3d",1.60682040201588
